,Ttile,Summmary,DateTime,URL
43,Apple iPhone makers suspend India production due to coronavirus lockdown,The iPhone XR production might take a big hit this time now that India is in complete lockdown for next 21 days. (Apple),2020-03-25T00:28:43Z,https://www.news.google.com/./articles/CAIiEOJxQEZI76Q-VvLwspZrlokqFggEKg4IACoGCAoww7k_MMevCDCm4QE?hl=en-IN&gl=IN&ceid=IN%3Aen
44,Every second car to be electric globally in 2050: Study,"Electric cars produce less CO2 than petrol vehicles, study confirms",2020-03-24T09:35:38Z,https://www.news.google.com/./articles/CAIiEJ94f3pMvKdsIqUOk1se36oqGQgEKhAIACoHCAowlbCPCzCrzaIDMJXjrgY?hl=en-IN&gl=IN&ceid=IN%3Aen
45,None,None,None,None
46,"As flights get cancelled amid COVID-19 crisis, airlines wonder where to park aircraft - Republic World","Some airports, such as Melbourne and Brisbane, said they are providing parking for free. (File)",2020-03-24T10:11:34Z,https://www.news.google.com/./articles/CAIiEMtnRV_xLK0XmNierSlOgagqGQgEKhAIACoHCAowj8n_CjDIrfkCMNKc6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
47,Maruti Suzuki temporarily shuts production at Gujarat plant,"On Sunday, Maruti Suzuki, Mahindra & Mahindra, Mercedes Benz and Fiat announced a halt to their production and other operations. Now, Toyota, Suzuki ...",2020-03-23T15:57:59Z,https://www.news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3LnJ1c2hsYW5lLmNvbS9zaHV0LWRvd24tY2FyLXBsYW50LWNvcm9uYS12aXJ1cy0xMjM1Njk4OC5odG1s0gFLaHR0cHM6Ly93d3cucnVzaGxhbmUuY29tL3NodXQtZG93bi1jYXItcGxhbnQtY29yb25hLXZpcnVzLTEyMzU2OTg4Lmh0bWwvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen
48,"Mahindra Sold 93% Diesel Cars in 2019 - Scorpio, Bolero, XUV500",Mahindra has launched the BS6-ready Bolero in India.,2020-03-24T12:30:31Z,https://www.news.google.com/./articles/CBMidWh0dHBzOi8vd3d3Lm5ld3NieXRlc2FwcC5jb20vdGltZWxpbmUvQXV0by81OTA0Mi8yNzU1NzEvYnM2LW1haGluZHJhLWJvbGVyby1sYXVuY2hlZC1zcGVjcy1mZWF0dXJlcy1wZXJmb3JtYW5jZS1wcmljZdIBgAFodHRwczovL3d3dy5uZXdzYnl0ZXNhcHAuY29tL3RpbWVsaW5lL0F1dG8vNTkwNDIvMjc1NTcxL2JzNi1tYWhpbmRyYS1ib2xlcm8tbGF1bmNoZWQtc3BlY3MtZmVhdHVyZXMtcGVyZm9ybWFuY2UtcHJpY2UvYW1wL2dvb2dsZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
49,Safal To Operate All Outlets At Full Capacity Amid Coronavirus Lockdown,"Coronavirus Outbreak: Mother Dairy says milk demand up 5-10%, facing no major supply disruptions amid lockdowns",2020-03-25T06:14:45Z,https://www.news.google.com/./articles/CAIiEPr10m7a9S-Sb8zq6t3SV7cqGAgEKg8IACoHCAow5v6PATDrwA8wr93OBg?hl=en-IN&gl=IN&ceid=IN%3Aen
50,None,None,None,None
51,None,None,None,None
52,Recession worse than global financial crisis imminent: IMF,"IMF Warns Coronavirus Recession Could be Worse Than 2009, Calls on Rich Nations to Support Poorer Ones",2020-03-24T02:54:15Z,https://www.news.google.com/./articles/CAIiEFPRRBlPuLQZAYIABS774goqGQgEKhAIACoHCAow5qqNCzD4q58DMJahzgY?hl=en-IN&gl=IN&ceid=IN%3Aen
53,"Coronavirus Impact: FMCG Firms Limit Operations Only to Essential Items, Adopt 'Work From Home'","NEW DELHII : The decision by fast-moving consumer goods (FMCG) companies to scale down operations at plants and warehouses, with the government ...",2020-03-24T18:38:21Z,https://www.news.google.com/./articles/CAIiECaCxZhQz922W-yWpKjDTbYqFggEKg4IACoGCAowxLQ_MNevCDDmph8?hl=en-IN&gl=IN&ceid=IN%3Aen
54,Gilead’s potential coronavirus treatment gets FDA’s orphan drug label,Photo for representational purpose. (Photo: Reuters),2020-03-25T01:03:16Z,https://www.news.google.com/./articles/CAIiELjoADyNtDvDsBlV-pQ7Gb4qGQgEKhAIACoHCAowot7cCjD8xM4BMK7khgI?hl=en-IN&gl=IN&ceid=IN%3Aen
